Guideline,Yes When Merged,Yes When Not Merged,% Yes When Merged,% Yes When Not Merged
Code of Conduct,16382,14027,88.63,90.89
Create Feature Branches,12839,9503,69.46,61.58
Document Your Changes,1177,690,6.37,4.47
Engage in Code Reviews,130,162,0.7,1.05
Engage with Community,277,266,1.5,1.72
Follow Code Style Guidelines,1502,1487,8.13,9.64
Fork and Clone the Repository,4781,694,25.87,4.5
Report Issues,82,109,0.44,0.71
Respect Project Maintainers,9720,7362,52.59,47.7
Review and Address Feedback,324,211,1.75,1.37
Sign Contributor License Agreement (CLA),1468,1146,7.94,7.43
Submit Pull Requests,13008,9792,70.37,63.45
Update Documentation,934,618,5.05,4.0
Use Clear and Descriptive Commit Messages,10403,7295,56.28,47.27
Write Automated Tests,1067,324,5.77,2.1
